cuce,#,CodigoUNSPSC,ObjetodeGasto,DescripciondelBienoServicio,UnidaddeMedida,Cantidad,PrecioReferencialUnitario,PrecioReferencialTotal,NombreoRazonSocialdelProponenteAdjudicado,PrecioUnitarioAdjudicado,TotalAdjudicado,CantidadRecepcionada,PrecioUnitarioReal,MontoRealejecutado,Estado,Cronograma,Nombreproponente,MontoAdjudicado,Nro.de,Montode,Fechade,Monto,Fechade.1,RUPE,TipodeDocumento,Formulario,Fecha
21-0418-02-1186927-1-1,1,1214190,34200,Nitrógeno n - Nitrógeno Gas Medicinal,metro cubico,192.00,18.0,"3,456.00",PRAXAIR BOLIVIA S.R.L.,18.0,"3,456.00",,,,Contratado,Cronograma 0,,,,,,,,,,,
21-0418-02-1186927-1-1,2,1214210,34200,Gas dióxido de carbono - Gas Carbónico Medicinal,kg,600.00,18.0,"10,800.00",PRAXAIR BOLIVIA S.R.L.,18.0,"10,800.00",,,,Contratado,Cronograma 0,,,,,,,,,,,
21-0418-02-1186927-1-1,3,1214190,34200,Oxígeno o - Oxigeno Gas Medicinal,metro cubico,"3,960.00",18.0,"71,280.00",PRAXAIR BOLIVIA S.R.L.,18.0,"71,280.00",,,,Contratado,Cronograma 0,,,,,,,,,,,
21-0418-02-1186927-1-1,4,1214190,34200,Nitrógeno n - Nitrógeno Líquido Medicinal,kg,360.00,18.0,"6,480.00",PRAXAIR BOLIVIA S.R.L.,18.0,"6,480.00",,,,Contratado,Cronograma 0,,,,,,,,,,,
21-0418-02-1186927-1-1,5,1214210,34200,Aire industrial - Aire Gas Medicinal,metro cubico,30.50,18.0,549.00,PRAXAIR BOLIVIA S.R.L.,18.0,549.00,,,,Contratado,Cronograma 0,,,,,,,,,,,
21-0418-02-1186927-1-1,6,1214200,34200,Gas argón ar - Argón Gas Medicinal,metro cubico,4.00,206.0,824.00,PRAXAIR BOLIVIA S.R.L.,206.0,824.00,,,,Contratado,Cronograma 0,,,,,,,,,,,
21-0418-02-1186927-1-1,7,1214190,34200,Oxígeno o - Oxigeno Liquido Medicinal,kg,"22,300.0",13.57,"302,611.00",PRAXAIR BOLIVIA S.R.L.,13.57,"302,611.00",,,,Contratado,Cronograma 0,,,,,,,,,,,
20-1115-00-1080963-1-1,1,7210000,24110,Readecuacion Ambientes Morgue Y Deposito Rges Para Pacientes Covid,GLOBAL,"1,00","49.999,94","49.999,94",,,,"1,00","49.999,94","49.999,94",Contratado,Cronograma 0,,,,,,,,,,,
20-1109-00-1053980-1-1,1,7210000,42230,REFACCIÓN CENTRO PALEOMTOLÓGICO PARA ATENCIÓN COVID-19,1,"1,00","199.175,53","199.175,53",CHUMACERO CORS OMAR,"197.880,99","197.880,99","1,00","197.880,99","197.880,99",Contratado,Cronograma 0,,,,,,,,,,,
20-1347-00-1080799-1-1,1,1012000,31200,ALIMENTO PARA PECES,BOLSA,"481,00","125,00","60.125,00",ROMERO FUENTES MARIO ALBERTO,"124,50","59.884,50","481,00","124,50","59.884,50",Contratado,Cronograma 0,,,,,,,,,,,
20-1205-00-1088530-1-1,1,5310000,33300,overoles reutilizables,unidad,"1.395,00","126,00","175.770,00",,,,"1.395,00","126,00","175.770,00",Contratado,Cronograma 0,,,,,,,,,,,
19-0417-03-1039991-0-E,1,4217000,39800,131 PZA. MANOMETROS DE OXIGENO,PIEZA,"131,00",,,ARAUCO ROMERO JIMMY JUNIOR,"380,00","49.780,00","131,00","380,00","49.780,00",Contratado,Cronograma,,,,,,,,,,,
20-1523-00-1086762-1-1,1,4110000,43400,Concentrador de oxígeno,PIEZA,"2,00","12.000,00","24.000,00",MAMANI DE MARCA ANA MARIA,"12.000,00","24.000,00","2,00","12.000,00","24.000,00",Contratado,Cronograma 0,,,,,,,,,,,
20-1523-00-1086762-1-1,2,4110000,43400,"Caja de parto (1 pinza porta objeto, 2 pinzas de koger, 1 tijera mayo recta, 1 pinza anatómica, 1 pinza quirúrgica o diente de ratón, 1 tijera mayo curva, 1 posillo, 1 mango de bisturí, caja metálica)",CAJA,"1,00","2.500,00","2.500,00",MAMANI DE MARCA ANA MARIA,"2.400,00","2.400,00","1,00","2.400,00","2.400,00",Contratado,Cronograma 0,,,,,,,,,,,
20-1523-00-1086762-1-1,3,4110000,43400,Balanza digital,PIEZA,"2,00","6.900,00","13.800,00",ARMIJO CANAVIRI GUIDO CRISTHIAN,"5.400,00","10.800,00","2,00","5.400,00","10.800,00",Contratado,Cronograma 0,,,,,,,,,,,
20-1523-00-1086762-1-1,4,4110000,43400,Camilla ginecológica,PIEZA,"1,00","2.500,00","2.500,00",ARMIJO CANAVIRI GUIDO CRISTHIAN,"2.450,00","2.450,00","1,00","2.450,00","2.450,00",Contratado,Cronograma 0,,,,,,,,,,,
20-1523-00-1086762-1-1,5,4110000,43400,Oximetro de pulso de mesa,PIEZA,"8,00","4.200,00","33.600,00",ARMIJO CANAVIRI GUIDO CRISTHIAN,"3.800,00","30.400,00","8,00","3.800,00","30.400,00",Contratado,Cronograma 0,,,,,,,,,,,
20-1523-00-1086762-1-1,6,4110000,43400,Glucómetro,PIEZA,"12,00","490,00","5.880,00",ARMIJO CANAVIRI GUIDO CRISTHIAN,"480,00","5.760,00","12,00","480,00","5.760,00",Contratado,Cronograma 0,,,,,,,,,,,
20-1523-00-1086762-1-1,7,4110000,43400,Catre hospitalario,PIEZA,"2,00","4.500,00","9.000,00",ARMIJO CANAVIRI GUIDO CRISTHIAN,"4.400,00","8.800,00","2,00","4.400,00","8.800,00",Contratado,Cronograma 0,,,,,,,,,,,
