cuce,list_n,numero,codigo_unspsc,objeto_de_gasto,descripcion_del_bien_o_servicio,unidad_de_medida,cantidad,precio_referencial_unitario,precio_referencial_total,nombre_o_razon_social_del_proponente_adjudicado,precio_unitario_adjudicado,total_adjudicado,cantidad_recepcionada,precio_unitario_real,monto_real_ejecutado,estado,cronograma
21-0907-00-1179481-1-1,0,1,4228153,43400,"Esterilizadores de plasma de gas - ADQUISICION DE INCUBADORA DE PRUEBA BIOLOGICA PARA ESTERILIZADOR DE PLASMA POR PEROXIDO DE HIDROGENO DEL HOSPITAL SAN JUAN DE DIOS,GESTION 2021",UNID,"1,00","37.000,00","37.000,00",,,,"1,00","37.000,00","37.000,00",Contratado,Cronograma 0
20-0902-44-1046068-1-1,1,1,1235000,34200,ENZIMOINMUNOANALISIS ELISA X 480 DETERMINACIONES PARA DETECCION IN VITRO DE ANTICUERPOS ANTI-HCV Y ANTIGENO VIRAL DEL VIRUS DE LA HEPATITIS ?C? EN SUERO O PLASMA HUMANO,KITS,"15,00","7.600,00","114.000,00",ANALISIS CLINICO TITICACA S.R.L.,"7.600,00","114.000,00",,,,Contratado,Cronograma 0
21-0138-00-1155207-1-1,2,1,4110301,43400,Refrigeradores para bancos de sangre - ULTRACONGELADOR,EQUIPO,"1,00","180.000,00","180.000,00",S&S IMPORTACIONES S.R.L.,"178.550,00","178.550,00","1,00","178.550,00","178.550,00",Contratado,Cronograma 0
21-0138-00-1155207-1-1,2,2,4110442,43400,Incubadora de plaqueta - AGITADOR con INCUBADOR DE PLAQUETAS,EQUIPO,"1,00","107.039,00","107.039,00",BURGOA  GUSTAVO ANTUAN,"106.900,00","106.900,00","1,00","106.900,00","106.900,00",Contratado,Cronograma 0
21-0138-00-1155207-1-1,2,3,4110170,43400,Prensas de laboratorio - EXTRACTOR DE PLASMA SEMI AUTOMÁTICO,EQUIPO,"1,00","39.100,00","39.100,00",BURGOA  GUSTAVO ANTUAN,"39.050,00","39.050,00","1,00","39.050,00","39.050,00",Contratado,Cronograma 0
20-0138-00-1087718-1-1,3,1,4110000,43400,"EQUIPO DE LABORATORIO, TIPO ROTADOR DE PLACAS",PIEZA,1.00,"6,800.00","6,800.00",,,,,,,Las propuestas no cumplieron aspectos tecnicos/admini strativos,Cronograma 0
20-0138-00-1087718-1-1,3,2,4110000,43400,SILLON DE EXTRACCION,PIEZA,1.00,"19,900.00","19,900.00",ESCALERA RODRIGUEZ ABRAHAN,"19,899.00","19,899.00",1.0,"19,899.00","19,899.00",Contratado,Cronograma 1
20-0138-00-1087718-1-1,3,3,4110000,43400,LAVADOR AUTOMATICO DE CELULAS,PIEZA,1.00,"129,900.00","129,900.00",COMPAÑIA DE SUMINISTROS TECNICOS COSUTEC SRL,"118,500.00","118,500.00",1.0,"118,500.00","118,500.00",Contratado,Cronograma 1
20-0417-04-1035224-1-1,4,1,4228000,34200,CASSETTE AL PLASMA,PIEZA,"150,00","980,00","147.000,00",GEDESA LTDA,"980,00","147.000,00",,,,Contratado,Cronograma 0
21-0417-03-1138035-1-1,5,1,4228180,34200,Cintas indicadoras de esterilización - INDICADOR QUIMICO EXTERNO CLASE 1 PARA PLASMA (ETIQUETA),ROLLO,170.0,293.0,"49,810.00",,,,170.0,293.0,"49,810.00",Contratado,Cronograma 0
