cuce,list_n,tipo_a,monto_a,tipo_b,monto_b,tipo_c,monto_c
20-1302-00-1038010-0-E,0,Total Adjudicado:,"49.965,00",Total Recepcionado:,"49.965,00",,
20-1601-00-1041948-0-E,1,Total Adjudicado:,"46.200,00",Total Recepcionado:,"46.200,00",,
20-0417-03-1062310-1-1,2,Total Referencial:,"168.000,00",Total Adjudicado:,"146.160,00",Total Recepcionado:,"146.160,00"
21-0203-00-1168225-1-1,3,Total Referencial:,"28,600.00",Total Recepcionado:,"19,200.00",,
20-1312-00-1052600-0-E,4,Total Adjudicado:,"46.834,92",Total Recepcionado:,,,
20-1201-00-1046786-0-E,5,Total Adjudicado:,"49.500,00",,,,
21-0046-28-1162984-1-1,6,Total Referencial:,"48.540,00",Total Recepcionado:,"24.150,00",,
21-0417-01-1128111-1-1,7,Total Referencial:,"49,616.00",Total Recepcionado:,"49,616.00",,
21-0203-00-1105524-1-1,8,Total Referencial:,"9,570.00",Total Recepcionado:,"44,261.00",,
21-0203-00-1105524-1-1,8,Total Referencial:,100.0,Total Recepcionado:,187.50,,
21-0203-00-1105524-1-1,8,Total Referencial:,420.0,Total Recepcionado:,"1,676.00",,
21-0203-00-1105524-1-1,8,Total Referencial:,,,,,
21-0203-00-1105524-1-1,8,Total Recepcionado:,,,,,
20-1404-00-1087548-1-1,9,Total Referencial:,"60,080.00",Total Recepcionado:,"54,072.00",,
20-1301-00-1052195-0-E,10,Total Adjudicado:,"370.000,00",Total Recepcionado:,"370.000,00",,
20-0902-01-1047718-0-E,11,Total Adjudicado:,"49.950,00",Total Recepcionado:,"49.950,00",,
21-0417-07-1115820-1-1,12,Total Referencial:,"49.950,00",Total Recepcionado:,"37.740,00",,
20-0901-02-1097096-1-1,13,Total Referencial:,"98.406,00",Total Recepcionado:,"98.406,00",,
21-0418-02-1186927-1-1,14,Total Referencial:,"396,000.00",Total Adjudicado:,"396,000.00",,
20-1115-00-1080963-1-1,15,Total Referencial:,"49.999,94",Total Recepcionado:,"49.999,94",,
20-0203-00-1040738-0-E,16,Total Adjudicado:,"38.270,00",Total Recepcionado:,"38.270,00",,
20-1312-00-1041320-0-E,17,Total Adjudicado:,"49.150,00",Total Recepcionado:,"49.150,00",,
20-1301-00-1057932-1-1,18,Total Referencial:,"100,000.00",Total Adjudicado:,"49,375.00",Total Recepcionado:,"49,375.00"
20-1272-00-1042495-0-E,19,Total Adjudicado:,"38.757,00",Total Recepcionado:,"38.757,00",,
20-1109-00-1053980-1-1,20,Total Referencial:,"199.175,53",Total Adjudicado:,"197.880,99",Total Recepcionado:,"197.880,99"
21-0423-00-1157062-1-1,21,Total Referencial:,"56,000.00",Total Adjudicado:,"55,600.00",Total Recepcionado:,"55,600.00"
20-1215-00-1050547-0-E,22,Total Adjudicado:,"425.350,00",Total Recepcionado:,"425.350,00",,
20-1347-00-1080799-1-1,23,Total Referencial:,"60.125,00",Total Adjudicado:,"59.884,50",Total Recepcionado:,"59.884,50"
20-1404-00-1044385-0-E,24,Total Adjudicado:,"47.600,00",Total Recepcionado:,"47.600,00",,
20-0902-21-1046215-0-E,25,Total Adjudicado:,"49.250,00",Total Recepcionado:,"49.250,00",,
21-1335-00-1142412-1-1,26,Total Referencial:,"49.055,00",Total Recepcionado:,"49.010,00",,
20-1205-00-1088530-1-1,27,Total Referencial:,"175.770,00",Total Recepcionado:,"175.770,00",,
20-0902-01-1041271-1-1,28,Total Referencial:,"180.236,00",Total Adjudicado:,"180.236,00",Total Recepcionado:,"180.236,00"
20-1604-00-1092532-1-1,29,Total Referencial:,"107.822,00",Total Recepcionado:,"47.784,00",,
19-0417-03-1039991-0-E,30,Total Adjudicado:,"49.780,00",Total Recepcionado:,"49.780,00",,
20-1260-00-1039322-0-E,31,Total Adjudicado:,"32.895,80",Total Recepcionado:,"32.895,80",,
20-1523-00-1086762-1-1,32,Total Referencial:,"204.830,00",Total Adjudicado:,"178.960,00",Total Recepcionado:,"197.560,00"
21-1701-00-1122241-1-1,33,Total Referencial:,"288.680,00",Total Adjudicado:,"229.500,60",Total Recepcionado:,"229.500,60"
20-1328-00-1062783-1-1,34,Total Referencial:,"120,000.00",Total Adjudicado:,"95,390.50",Total Recepcionado:,"95,390.50"
20-1208-00-1089519-1-1,35,Total Referencial:,"433,100.00",Total Adjudicado:,"430,570.00",Total Recepcionado:,"430,570.00"
20-0905-00-1043488-0-E,36,Total Adjudicado:,"352.263,00",Total Recepcionado:,"352.263,00",,
20-0781-00-1065082-1-1,37,Total Referencial:,"607.169,16",Total Adjudicado:,"95.333,76",Total Recepcionado:,"95.333,76"
20-1316-00-1055996-1-1,38,Total Referencial:,"199,989.66",Total Adjudicado:,"84,946.16",Total Recepcionado:,"84,946.16"
20-0417-05-1068544-1-1,39,Total Referencial:,"185.600,00",Total Adjudicado:,"185.600,00",Total Recepcionado:,"185.600,00"
20-0417-09-1073662-1-2,40,Total Referencial:,"1,000,000.00",Total Adjudicado:,"990,000.00",Total Recepcionado:,"990,000.00"
20-1211-00-1050253-0-E,41,Total Adjudicado:,"178.120,00",,,,
20-0417-02-1049425-0-E,42,Total Adjudicado:,"46.486,24",Total Recepcionado:,"46.486,24",,
20-0147-00-1086393-1-1,43,Total Referencial:,"3.857,00",Total Adjudicado:,"3.857,00",Total Recepcionado:,"3.857,00"
20-0147-00-1086393-1-1,43,Total Referencial:,"24.717,00",Total Adjudicado:,"23.317,00",Total Recepcionado:,"23.317,00"
20-0147-00-1086393-1-1,43,Total Referencial:,"301.570,00",Total Adjudicado:,Total Recepcionado:,,
20-0147-00-1086393-1-1,43,Total Referencial:,"54.425,00",Total Adjudicado:,Total Recepcionado:,,
20-0147-00-1086393-1-1,43,Total Referencial:,"54.496,89",Total Adjudicado:,Total Recepcionado:,,
20-1228-00-1086369-1-1,44,Total Referencial:,"49,934.92",Total Recepcionado:,"49,934.92",,
20-1508-00-1044027-0-E,45,Total Adjudicado:,"20.140,00",Total Recepcionado:,"20.140,00",,
21-0513-00-1152517-1-1,46,Total Referencial:,"51.008,00",Total Adjudicado:,"17.425,00",Total Recepcionado:,"17.425,00"
20-0903-00-1043530-0-E,47,Total Adjudicado:,"77.256,00",,,,
21-0417-09-1107924-1-1,48,Total Referencial:,"999.900,00",Total Adjudicado:,"999.900,00",Total Recepcionado:,"999.900,00"
20-0046-28-1051122-0-E,49,Total Adjudicado:,"800.000,00",Total Recepcionado:,"800.000,00",,
20-0901-02-1047799-0-E,50,Total Adjudicado:,"801.150,00",Total Recepcionado:,"801.150,00",,
20-1604-00-1046754-0-E,51,Total Adjudicado:,"28.500,00",,,,
20-1201-00-1039527-0-E,52,Total Adjudicado:,"233.298,00",Total Recepcionado:,"233.298,00",,
20-1201-00-1052612-0-E,53,Total Adjudicado:,"49.986,00",,,,
20-1701-00-1042311-0-E,54,Total Adjudicado:,"57.000,00",Total Recepcionado:,"57.000,00",,
20-1260-00-1038273-0-E,55,Total Adjudicado:,"32.197,80",Total Recepcionado:,"32.197,80",,
20-0418-03-1045659-0-E,56,Total Adjudicado:,"36.000,00",Total Recepcionado:,"36.000,00",,
21-0086-00-1112961-1-1,57,Total Referencial:,"21,100.00",Total Recepcionado:,"16,500.00",,
