tema,cuce,entidad,tipo_contratacion,modalidad,objeto,estado.x,subasta,fecha_presentacion,fecha_publicacion,archivos,formularios,ficha_proceso,persona_contacto,garantia,costo_pliego,arpc,reunion_aclaracion,fecha_adjudicacion_desierta,departamento,normativa,numero,codigo_unspsc,objeto_de_gasto,descripcion_del_bien_o_servicio,unidad_de_medida,cantidad,precio_referencial_unitario,precio_referencial_total,nombre_o_razon_social_del_proponente_adjudicado,precio_unitario_adjudicado,total_adjudicado,cantidad_recepcionada,precio_unitario_real,monto_real_ejecutado,estado.y,cronograma
gel,20-0417-09-1032262-0-E,Caja Nacional De Salud - Regional La Paz,Bienes,CM,2000 Bol. Gelatina 920 Gr. Unidad De Economato Central Regional La Paz,Contratado,NA,NA,2020-03-03,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)Acta o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Brayan Luis Cabrera Vera (Telf: 2-901777),NA,NA,-,NA,2020-02-12,La Paz,NB-SABS (D.S.0181),1,5016000,31140,2000 BOL. GELATINA 920 GR. UNIDAD DE ECONOMATO CENTRAL REGIONAL LA PAZ,BOL,2000,NA,NA,DIEZ DE MEDINA ROMERO MIGUEL PAUL,22,44000,2000,22,44000,Contratado,Cronograma
oxigeno,20-0417-09-1032544-0-E,Caja Nacional De Salud - Regional La Paz,Bienes,CM,3000 M3 Oxigeno Medicinal. Administracion His-Viacha,Contratado,NA,NA,2020-03-03,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de Servicio,FORM 400,Ver Ficha,Brayan Luis Cabrera Vera (Telf: 2-901777),NA,NA,-,NA,2020-02-03,La Paz,NB-SABS (D.S.0181),1,4227000,34200,3000 M3 OXIGENO MEDICINAL. ADMINISTRACION HIS- VIACHA,M3,3000,NA,NA,PRAXAIR BOLIVIA S.R.L.,12,36000,NA,NA,NA,Contratado,Cronograma
barbijo,20-0902-00-1031238-0-E,Gobierno Autónomo Departamental De La Paz,Bienes,EM,"Adquisicion De Arroz Perla, Fideo, Azucar, Aceite Comestible, Leche En Polvo, Agua Mineral, Lentes De Seguridad Y Barbijos De Respiracion",Contratado,NA,NA,2020-03-06,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)Acta o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Abraham Miranda Layme (Telf: 2202567),NA,NA,-,NA,2020-01-24,La Paz,NB-SABS (D.S.0181),1,4618000,34200,BARBIJOS DE RESPIRACION,PIEZA,2000,NA,NA,CHUQUIMIA GARCIA XIMENA,1.5,3000,2000,1.5,3000,Contratado,Cronograma
oxigeno,20-0417-09-1033941-0-E,Caja Nacional De Salud - Regional La Paz,Bienes,CM,"5 Items Otros Repuestos Y Accesorios (4 Pza Valvula De Tres Vias, 4 Pza Diafragma De Valvula Booster, 4 Juegos Mangueras Internas De Oxigeno, 4 Juegos Mangueras Internas De Aire, 4 Pza Baterias Recargable Interna De 12 Volt. Electromedicina Hode Materno Infantil",Contratado,NA,NA,2020-03-09,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)Acta o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Brayan Luis Cabrera Vera (Telf: 2-901777),NA,NA,-,NA,2020-03-03,La Paz,NB-SABS (D.S.0181),1,4112000,39800,"5 ITEMS OTROS REPUESTOS Y ACCESORIOS (4 PZA VALVULA DE TRES VIAS, 4 PZA DIAFRAGMA DE VALVULA BOOSTER, 4 JUEGOS MANGUERAS INTERNAS DE OXIGENO, 4 JUEGOS MANGUERAS INTERNAS DE AIRE, 4 PZA",GLOBAL,1,NA,NA,CHAVEZ CONDORI JOSE LUIS,49000,49000,1,49000,49000,Contratado,Cronograma
coronavirus,20-0046-21-1034322-0-E,Seguro Social Universitario - Cochabamba,Bienes,CM,Aquisicion De Equipamiento E Insumos De Proteccion Coronavirus,Contratado,NA,NA,2020-03-10,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)Acta o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Favio Manuel Soria Galvarro Villarroel (Telf: 4226772),NA,NA,-,NA,2020-02-28,Cochabamba,NB-SABS (D.S.0181),1,4217000,39900,PRODUCTOS E INSUMOS DE PROTECCION CORONAVIRUS,GLOBAL,1,NA,NA,SALUR S.R.L.,38590,38590,1,38590,38590,Contratado,Cronograma
oxigeno,19-0417-03-1034294-0-E,Caja Nacional De Salud Regional Santa Cruz,Bienes,CM,10 Pzas. Tubo De Oxigeno - Dpto De Pediatria Hosp. Mat. Inf. C.N.S.,Contratado,NA,NA,2020-03-10,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioContrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Olivia  Lopez Chavez (Telf: 3393354),NA,NA,-,NA,2019-11-15,Santa Cruz,NB-SABS (D.S.0181),1,4216000,43400,10 PZAS. TUBO DE OXIGENO - DPTO DE PEDIATRIA HOSP. MAT. INF. C.N.S.,PIEZAS,10,NA,NA,ARAUCO ROMERO JIMMY JUNIOR,2300,23000,10,2300,23000,Contratado,Cronograma
barbijo,20-0417-09-1034893-0-E,Caja Nacional De Salud - Regional La Paz,Bienes,CM,2 Items. 1000 Pza Barbijos Con Visor Antiempañante; 1000 Pza. Batas Quirurgicas. Jefatura Medica Unidad Gestion Suministros E Insumos Medicos Regional La Paz,Contratado,NA,NA,2020-03-11,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Brayan Luis Cabrera Vera (Telf: 2-901777),NA,NA,-,NA,2020-03-05,La Paz,NB-SABS (D.S.0181),1,4214000,34200,2 ITEMS. 1000 PZA BARBIJOS CON VISOR ANTIEMPAñANTE; 1000 PZA. BATAS QUIRURGICAS. JEFATURA MEDICA UNIDAD GESTION SUMINISTROS E INSUMOS MEDICOS REGIONAL LA PAZ,GLOBAL,1,NA,NA,SALUR S.R.L.,43000,43000,1,43000,43000,Contratado,Cronograma
barbijo,20-0417-09-1034965-1-1,Caja Nacional De Salud - Regional La Paz,Bienes,ANPP,5 Items: Productos Quimicos Farmaceuticos. 1500 Pza. Batas Para Aislamiento Descartables; 2000 Pza. Barbijos Sin Filtro N95; 1500 Pza. Lentes De Protección-Antiparra; 1500 Pza. Overol Tyveck; 50000 Pza. Guantes De Nitrilo Puño Corto,Contratado,NA,2020-03-23,2020-03-11,Documento Base de ContratacionConvocatoriaRes. de Adjudicacion (nota)Informe de la Comision/Responsable de EvaluacionContrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 100FORM 170FORM 200FORM 500,Ver Ficha,Jose Luis Peralta Rocha (Telf: 2-901777),NA,NA,-,17/03/2020 08:30,2020-03-30,La Paz,NB-SABS (D.S.0181),1,4214000,34200,1500 PZA. BATAS PARA AISLAMIENTO DESCARTABLES; 2000 PZA. BARBIJOS SIN FILTRO N95; 1500 PZA. LENTES DE PROTECCIÓN-ANTIPARRA; 1500 PZA. OVEROL TYVECK; 50000 PZ,GLOBAL,1,235900,235900,DISPROMED SRL.,235900,235900,1,235900,235900,Contratado,Cronograma 0
oxigeno,20-1702-00-1034795-0-E,Gobierno Autonomo Municipal De Cotoca,Bienes,CM,Compra De Oxigeno Medicinal Para El Area De Emergencia Del Sistema Unico De Salud Del H.M.V.C.,Contratado,NA,NA,2020-03-11,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioContrato/Orden de Compra/Orden de ServicioContrato/Orden de Compra/Orden de ServicioContrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Cinthya Anahy Lino Flores (Telf: 3882547),NA,NA,-,NA,2020-02-03,Santa Cruz,NB-SABS (D.S.0181),1,4214000,34200,OXIGENO MEDICINAL,M3,1851,NA,NA,ANTEZANA  DE CALLEJAS CLAUDIA VERONICA,27,49977,1851,27,49977,Contratado,Cronograma
alcohol,20-1401-00-1035122-0-E,Gobierno Autonomo Municipal De Oruro,Bienes,CM,"150 Tijeras Podadoras De Dos Manos Mango Tubular Metalico De 19 Cm., 150 Rastrillo Flex Con Regulador Con Mango, 150 Levanta Basura De Lata De Alcohol, 150 Juego Estuche Jardinero De 3 Pzas., 150 Pzas Picota Pequeña Jardinero Karimacho (Unidad De Paisajismo Y Forestacion Alm-P-00028/20)",Contratado,NA,NA,2020-03-12,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Andres Angulo Rocha (Telf: 25251624),NA,NA,-,NA,2020-02-07,Oruro,NB-SABS (D.S.0181),1,3116000,34800,"150 TIJERAS PODADORAS DE DOS MANOS MANGO TUBULAR METALICO DE 19 CM., 150 RASTRILLO FLEX CON REGULADOR CON MANGO, 150 LEVANTA BASURA DE LATA DE ALCOHOL, 150 JUEGO ESTUCHE JARDINERO DE 3 PZAS., 150 PZAS",PIEZA,1,NA,NA,IBAÑEZ GOMEZ DE HINOJOSA RUTH ALINA,32100,32100,1,32100,32100,Contratado,Cronograma
