cuce,list_n,tipo_a,monto_a,tipo_b,monto_b,tipo_c,monto_c
21-0907-00-1179481-1-1,0,Total Referencial:,37000,Total Recepcionado:,37000,,
20-0902-44-1046068-1-1,1,Total Referencial:,114000,Total Adjudicado:,114000,,
21-0138-00-1155207-1-1,2,Total Referencial:,326139,Total Adjudicado:,324500,Total Recepcionado:,324500
20-0138-00-1087718-1-1,3,Total Referencial:,156600,Total Adjudicado:,138399,Total Recepcionado:,138399
20-0417-04-1035224-1-1,4,Total Referencial:,147000,Total Adjudicado:,147000,,
21-0417-03-1138035-1-1,5,Total Referencial:,49810,Total Recepcionado:,49810,,
20-0417-05-1071607-1-1,6,Total Referencial:,77993,Total Adjudicado:,77993,Total Recepcionado:,77993
20-0417-03-1071819-1-1,7,Total Referencial:,59837,Total Adjudicado:,58730,Total Recepcionado:,58730
21-0417-06-1143483-1-2,8,Total Referencial:,134490,Total Adjudicado:,134490,Total Recepcionado:,134490
20-1810-00-1049162-0-E,9,Total Adjudicado:,34000,,,,
20-0903-13-1048855-0-E,10,Total Adjudicado:,48800,Total Recepcionado:,48800,,
21-0417-03-1149738-1-1,11,Total Referencial:,49875,Total Recepcionado:,49874.9,,
20-0903-00-1079578-1-1,12,Total Referencial:,49084,Total Recepcionado:,49084,,
21-0417-06-1143432-1-2,13,Total Referencial:,114990,Total Adjudicado:,114990,Total Recepcionado:,114990
20-0902-44-1046092-1-1,14,Total Referencial:,60000,Total Adjudicado:,60000,,
21-0138-00-1154921-1-1,15,Total Referencial:,23011,Total Recepcionado:,22994.4,,
20-0047-15-1042512-0-E,16,Total Adjudicado:,20858,Total Recepcionado:,20858,,
20-0903-13-1049747-1-1,17,Total Referencial:,118950,Total Adjudicado:,118950,Total Recepcionado:,118950
20-0903-00-1080828-1-1,18,Total Referencial:,49920,Total Recepcionado:,49920,,
20-0902-41-1042152-0-E,19,Total Adjudicado:,42570,Total Recepcionado:,42570,,
20-0417-05-1051099-1-1,20,Total Referencial:,240000,Total Adjudicado:,240000,,
21-0417-03-1158775-1-1,21,Total Referencial:,94000,Total Adjudicado:,94000,Total Recepcionado:,94000
20-0902-44-1048232-1-1,22,Total Referencial:,120000,Total Adjudicado:,120000,,
20-0903-13-1042824-1-1,23,Total Referencial:,61000,Total Adjudicado:,61000,Total Recepcionado:,61000
20-0138-00-1085742-1-1,24,Total Referencial:,1460320,Total Adjudicado:,817630,Total Recepcionado:,817630
21-0902-39-1140596-3-1,25,Total Referencial:,64017,Total Adjudicado:,63897,Total Recepcionado:,63897
21-0902-39-1140596-1-1,26,Total Referencial:,123277,Total Adjudicado:,58865,Total Recepcionado:,58865
