cuce,numero,codigo_unspsc,objeto_de_gasto,descripcion_del_bien_o_servicio,unidad_de_medida,cantidad,precio_referencial_unitario,precio_referencial_total,nombre_o_razon_social_del_proponente_adjudicado,precio_unitario_adjudicado,total_adjudicado,cantidad_recepcionada,precio_unitario_real,monto_real_ejecutado,estado,cronograma
20-1302-00-1038010-0-E,1,5121000,34200,COMPRA DE MATERIAL DE BIOSEGURIDAD COVID -19 CORONAVIRUS PARA LOS DIFERENTES CENTROS DE SALUD DE PRIMER NIVEL,GLOBAL,1,,,DISPROMED SRL.,49965,49965,1,49965,49965,Contratado,Cronograma
20-1601-00-1041948-0-E,1,4213000,33300,ADQUISICION DE BARBIJOS TIPO FFP2KN95 PARA CENTROS DE SALUD ZOONOSIS Y HEMODIALISIS PARA PREVENCION COVID- 2019,UNID.,1,,,PEÑALOZA MARTINEZ PATRICK,46200,46200,1,46200,46200,Contratado,Cronograma
20-0417-03-1062310-1-1,1,4214000,34200,CORRUGADOS DE RESPIRADOR MECANICO NEONATAL,PIEZAS,840,200,168000,HURTADO PEREDO MEDICAL & INSTRUMENT S.R.L.              HP MEDICAL S.R.L.,174,146160,840,174,146160,Contratado,Cronograma 0
21-0203-00-1168225-1-1,1,8017160,25500,Servicio de campaña de información pública - SERVICIO DE ELABORACIÓN DE MATERIAL PROMOCIONAL - LLAVERO DESTAPADOR,SERVICI O,10,8000,8000,,,,10,6000,6000,Contratado,Cronograma 0
21-0203-00-1168225-1-1,2,8017160,25500,Servicio de campaña de información pública - SERVICIO DE ELABORACIÓN DE MATERIAL PROMOCIONAL  - ATOMIZADOR EN SPRAY,SERVICI O,10,14600,14600,,,,10,9000,9000,Contratado,Cronograma 0
21-0203-00-1168225-1-1,3,8017160,25500,Servicio de campaña de información pública - SERVICIO DE ELABORACIÓN DE MATERIAL PROMOCIONAL - BOLÍGRAFOS,SERVICI O,10,6000,6000,,,,10,4200,4200,Contratado,Cronograma 0
20-1312-00-1052600-0-E,1,5121000,34200,DISCO áCIDO NALIDIXICO TUBO X50    30UG,TUBO,3,,,CLAURE ZEBALLOS ENRIQUE LUIS,32,96,3,32,96,Contratado,Cronograma
20-1312-00-1052600-0-E,2,5121000,34200,DISCO OXACILINA TUBO X50  1UG,TUBO,3,,,CLAURE ZEBALLOS ENRIQUE LUIS,32,96,3,32,96,Contratado,Cronograma
20-1312-00-1052600-0-E,3,5121000,34200,DISCO CEFALOTINA TUBO X50     30UG,TUBO,3,,,CLAURE ZEBALLOS ENRIQUE LUIS,32,96,3,32,96,Contratado,Cronograma
20-1312-00-1052600-0-E,4,5121000,34200,DISCO  BACITRACINA  TUBO X50   0.04UL,TUBO,3,,,ORIENTE MARVI S.R.L.,82,246,3,82,246,Contratado,Cronograma
20-1312-00-1052600-0-E,5,5121000,34200,TINCION DE GRAM  FRASCO X 100 ML,FRASCO,3,,,ISM S.R.L.,80.64,241.92000000000002,3,80.64,241.92000000000002,Contratado,Cronograma
20-1312-00-1052600-0-E,6,5121000,34200,AGAR BILIS ESCULINA FRASCO 500 GRAMOS,FRASCO,3,,,CLAURE ZEBALLOS ENRIQUE LUIS,1560,4680,3,1560,4680,Contratado,Cronograma
20-1312-00-1052600-0-E,7,5121000,34200,DISCO EDTA SMA TUBO X50,TUBO,3,,,ORIENTE MARVI S.R.L.,233,699,3,233,699,Contratado,Cronograma
