fecha,mes,n_conv
2020-03-01,3-2020,44
2020-04-01,4-2020,157
2020-05-01,5-2020,305
2020-06-01,6-2020,416
2020-07-01,7-2020,478
2020-08-01,8-2020,44
2020-09-01,9-2020,78
2020-10-01,10-2020,157
2020-11-01,11-2020,442
2020-12-01,12-2020,537
2021-01-01,1-2021,39
2021-02-01,2-2021,74
2021-03-01,3-2021,103
2021-04-01,4-2021,85
2021-05-01,5-2021,62
2021-06-01,6-2021,91
2021-07-01,7-2021,113
2021-08-01,8-2021,65
2021-09-01,9-2021,69
2021-10-01,10-2021,75
2021-11-01,11-2021,101
2021-12-01,12-2021,80
2022-01-01,1-2022,17
