cuce,tipo_a,monto_a,tipo_b,monto_b,tipo_c,monto_c
20-1302-00-1038010-0-E,Total Adjudicado:,49965,Total Recepcionado:,49965,,
20-1601-00-1041948-0-E,Total Adjudicado:,46200,Total Recepcionado:,46200,,
20-0417-03-1062310-1-1,Total Referencial:,168000,Total Adjudicado:,146160,Total Recepcionado:,146160
21-0203-00-1168225-1-1,Total Referencial:,28600,Total Recepcionado:,19200,,
20-1312-00-1052600-0-E,Total Adjudicado:,46834.92,Total Recepcionado:,,,
20-1201-00-1046786-0-E,Total Adjudicado:,49500,,,,
21-0046-28-1162984-1-1,Total Referencial:,48540,Total Recepcionado:,24150,,
21-0417-01-1128111-1-1,Total Referencial:,49616,Total Recepcionado:,49616,,
21-0203-00-1105524-1-1,Total Referencial:,9570,Total Recepcionado:,44261,,
21-0203-00-1105524-1-1,Total Referencial:,1000,Total Recepcionado:,18750,,
21-0203-00-1105524-1-1,Total Referencial:,4200,Total Recepcionado:,1676,,
21-0203-00-1105524-1-1,Total Referencial:,,,,,
21-0203-00-1105524-1-1,Total Recepcionado:,,,,,
20-1404-00-1087548-1-1,Total Referencial:,60080,Total Recepcionado:,54072,,
20-1301-00-1052195-0-E,Total Adjudicado:,370000,Total Recepcionado:,370000,,
20-0902-01-1047718-0-E,Total Adjudicado:,49950,Total Recepcionado:,49950,,
21-0417-07-1115820-1-1,Total Referencial:,49950,Total Recepcionado:,37740,,
20-0901-02-1097096-1-1,Total Referencial:,98406,Total Recepcionado:,98406,,
21-0418-02-1186927-1-1,Total Referencial:,396000,Total Adjudicado:,396000,,
20-1115-00-1080963-1-1,Total Referencial:,49999.94,Total Recepcionado:,49999.94,,
20-0203-00-1040738-0-E,Total Adjudicado:,38270,Total Recepcionado:,38270,,
20-1312-00-1041320-0-E,Total Adjudicado:,49150,Total Recepcionado:,49150,,
20-1301-00-1057932-1-1,Total Referencial:,100000,Total Adjudicado:,49375,Total Recepcionado:,49375
20-1272-00-1042495-0-E,Total Adjudicado:,38757,Total Recepcionado:,38757,,
