cuces,total_adjudicado,total_recepcionado,total_referencial
19-0417-03-1034294-0-E,23000,23000,
19-0417-03-1036590-0-E,33000,33000,
19-0417-03-1039991-0-E,49780,49780,
19-0417-03-1043195-0-E,45148,45148,
19-0902-43-1035196-0-E,49940,49940,
19-1335-00-1042832-0-E,29930,29930,
19-906-23-1039291-0-E,27500,27500,
20-0006-00-1051648-0-E,31220,31220,
20-0010-00-1074493-1-1,,28900,29500
20-0015-00-1047637-0-E,19305,19305,
20-0015-01-1039760-0-E,600000,600000,
20-0015-01-1041516-0-E,175000,,
20-0015-01-1043210-0-E,175000,175000,
20-0015-01-1043657-0-E,600000,600000,
20-0015-01-1055801-2-1,104300,104300,105000
20-0015-01-1080035-1-1,134850,134850,135000
20-0015-04-1063524-1-1,103500,103500,180000
20-0015-04-1063551-1-1,160000,160000,300000
20-0015-22-1043663-0-E,35760,,
20-0015-22-1048826-0-E,23250,,
20-0015-22-1050912-0-E,30800,30800,
20-0016-00-1042397-0-E,15000,15000,
20-0020-00-1048549-0-E,4320000,4320000,
20-0020-02-1041633-0-E,48997.1,48997.1,
20-0020-02-1044843-0-E,21820,21820,
20-0020-02-1047872-0-E,48000,48000,
20-0020-02-1094529-1-1,,41800,47500
20-0020-02-1094580-1-1,,43064,45000
20-0020-10-1039227-0-E,21176.4,21176.4,
20-0020-10-1041314-0-E,83980,83980,
20-0025-00-1096523-1-1,,42615,47750
20-0030-00-1048655-0-E,47980,47980,
20-0035-01-1040591-0-E,43560,43560,
20-0035-01-1089370-1-1,98879,98879,199980
20-0035-01-1089505-1-1,77785.6,77785.6,82400
20-0035-01-1096977-1-1,,45080,49910
20-0035-01-1097030-1-1,,48500,49250
20-0046-00-1038959-0-E,148720,148720,
20-0046-00-1038991-0-E,449970,449970,
20-0046-00-1039017-0-E,75000,,
20-0046-00-1039026-0-E,323400,323400,
20-0046-00-1039039-0-E,50600,50600,
20-0046-00-1039060-0-E,65100,65100,
20-0046-00-1039093-0-E,69000,69000,
20-0046-00-1039924-0-E,224545,224545,
20-0046-00-1040174-0-E,80535,80535,
20-0046-00-1040185-0-E,278850,278850,
20-0046-00-1040191-0-E,446600,446600,
20-0046-00-1040197-0-E,127880,127880,
20-0046-00-1041304-0-E,9389926.84,,
20-0046-00-1043712-0-E,72000,72000,
20-0046-00-1051856-1-1,155155,155155,199800
20-0046-00-1052742-1-1,153912,153912,154077
20-0046-00-1067108-1-1,176970,176970,197370
20-0046-00-1073287-1-1,,28860,28860
20-0046-00-1078152-1-1,100650,100650,120440
20-0046-00-1088614-1-1,,37800,47250
20-0046-00-1089667-1-1,,48100,48100
20-0046-00-1089671-1-1,,49845,49845
20-0046-00-1090932-1-1,,48000,49600
20-0046-00-1092680-1-1,,29950,42000
20-0046-00-1093478-1-1,,45925,48450
20-0046-00-1094877-1-1,,26800,37800
20-0046-10-1037510-0-E,42000,42000,
20-0046-10-1038937-0-E,42000,42000,
20-0046-10-1039099-0-E,42000,42000,
20-0046-17-1041411-0-E,42500,,
20-0046-20-1044683-0-E,23500,23500,
20-0046-20-1056170-1-1,485972,485972,725096
